PHA_NAME,MR_INSPECTION_DATE,MR_INSPECTION_COST,SECOND_MR_INSPECTION_DATE,SECOND_MR_INSPECTION_COST,CHANGE_IN_COST,PERCENT_CHANGE_IN_COST
Schuylkill County Housing Author,2014-05-21,27160,2014-05-19,15317.0,11843.0,77.32
Scranton Housing Authority,2015-01-15,37541,2015-01-13,26671.0,10870.0,40.76
Seattle Housing Authority,2015-01-08,12669,2014-06-06,11022.0,1647.0,14.94
Secaucus Housing Authority,2014-08-27,26460,2013-07-03,19193.0,7267.0,37.86
Selma Housing Authority,2014-09-17,35190,2014-04-10,17912.0,17278.0,96.46
Sheffield Housing Authority,2013-11-01,17695,2013-07-19,11898.0,5797.0,48.72
Shelbyville Housing Authority,2014-05-12,29869,2014-05-07,11318.0,18551.0,163.91
Smithville Housing Authority,2014-11-14,36139,2014-10-08,18412.0,17727.0,96.28
South Central Alabama Regional H,2014-07-09,32684,2014-07-08,30219.0,2465.0,8.16
Southern Nevada Regional Housing,2014-12-10,29435,2014-11-13,22176.0,7259.0,32.73
Springfield Housing Authority,2014-12-09,28727,2014-10-02,14834.0,13893.0,93.66
Springfield Metropolitan Housing,2014-06-19,23180,2014-05-19,13909.0,9271.0,66.65
St. Clair County Housing Authori,2014-10-09,36561,2014-10-08,12475.0,24086.0,193.07
St. Louis Housing Authority,2015-01-23,18916,2015-01-08,12298.0,6618.0,53.81
Starr County Housing Authority,2014-03-28,37840,2014-03-28,20920.0,16920.0,80.88
Statesville Housing Authority,2012-11-06,36063,2012-10-10,20254.0,15809.0,78.05
Suffolk Redevelopment and Housin,2014-10-09,19197,2014-10-08,18160.0,1037.0,5.71
Sunbury Housing Authority,2014-10-23,36669,2013-07-08,10419.0,26250.0,251.94
Sylacauga Housing Authority,2014-09-29,22520,2013-07-18,20057.0,2463.0,12.28
Syracuse Housing Authority,2015-01-15,28030,2015-01-09,14030.0,14000.0,99.79
TAMPA HOUSING AUTHORITY,2014-07-02,33481,2014-07-01,12130.0,21351.0,176.02
TARPON SPRINGS HOUSING AUTHORITY,2014-05-30,32443,2013-06-20,20358.0,12085.0,59.36
THE GREENVILLE HOUSING AUTHORITY,2015-01-30,37933,2015-01-12,17239.0,20694.0,120.04
TRI-CITY HOUSING AUTHORITY,2014-01-21,38969,2014-01-21,12858.0,26111.0,203.07
The Guntersville Housing Authori,2014-09-04,36517,2013-11-06,14976.0,21541.0,143.84
The Housing Auth of the City of,2014-12-29,29407,2014-12-17,14648.0,14759.0,100.76
The Housing Auth of the County o,2015-01-28,33226,2015-01-27,22698.0,10528.0,46.38
The Housing Authority of City of,2015-01-12,33247,2014-06-20,28960.0,4287.0,14.8
The Housing Authority of the Cit,2015-02-02,27750,2015-01-21,22790.0,4960.0,21.76
The Municipal Hsng Authority Cit,2014-09-29,21880,2014-09-18,15987.0,5893.0,36.86
Tioga County Housing Authority,2014-11-04,26951,2014-10-30,12741.0,14210.0,111.53
Topeka Housing Authority,2014-04-02,30261,2013-05-14,10716.0,19545.0,182.39
Town of Hempstead Housing Author,2014-04-29,36890,2014-04-01,22657.0,14233.0,62.82
Town of Islip Housing Authority,2014-11-13,39957,2014-11-12,28494.0,11463.0,40.23
Town of Oyster Bay Housing Autho,2013-12-06,18395,2013-08-22,18138.0,257.0,1.42
Trumbull Metropolitan Housing Au,2014-10-22,22918,2014-09-24,19844.0,3074.0,15.49
Union City Housing Authority,2014-10-30,26016,2014-10-29,18651.0,7365.0,39.49
Utica Housing Authority,2014-05-07,21346,2014-05-05,12654.0,8692.0,68.69
VIRGIN ISLANDS HOUSING AUTHORITY,2014-06-10,36189,2014-06-10,35802.0,387.0,1.08
Victoria Housing Authority,2014-06-06,28762,2014-04-29,25242.0,3520.0,13.95
Vincennes Housing Authority,2014-10-01,33885,2014-09-29,21387.0,12498.0,58.44
Vineland Housing Authority,2015-02-02,32047,2013-12-11,18534.0,13513.0,72.91
WARREN METROPOLITAN HOUSING AUTH,2015-01-28,39252,2015-01-27,24421.0,14831.0,60.73
WASHINGTON COUNTY HOUSING AUTHOR,2015-01-21,12402,2015-01-12,11054.0,1348.0,12.19
WASHINGTON COUNTY HRA,2014-03-21,34685,2013-04-22,11838.0,22847.0,193.0
WAYNE METROPOLITAN HOUSING AUTHO,2014-05-12,38841,2014-04-25,18738.0,20103.0,107.28
WEST PALM BEACH HOUSING AUTHORIT,2014-10-16,14088,2014-07-01,10896.0,3192.0,29.3
WESTMORELAND COUNTY HSG AUTHORIT,2015-01-29,29704,2015-01-26,16948.0,12756.0,75.27
Washington Housing Authority,2015-01-27,33986,2015-01-26,14787.0,19199.0,129.84
Waterbury Housing Authority,2014-10-07,26092,2013-12-03,22250.0,3842.0,17.27
Waukesha Housing Authority,2015-01-26,26823,2014-01-31,21637.0,5186.0,23.97
West Haven Housing Authority,2014-07-10,22755,2014-06-11,11395.0,11360.0,99.69
White Plains Housing Authority,2014-07-02,27997,2014-06-12,15538.0,12459.0,80.18
Whiteside County Housing Authori,2014-07-07,15004,2013-06-13,13163.0,1841.0,13.99
Wichita Housing Authority,2014-05-13,21264,2014-04-15,10241.0,11023.0,107.64
Wicomico County Housing Authorit,2015-01-22,25231,2014-04-09,19446.0,5785.0,29.75
Willimantic Housing Authority,2014-10-09,36566,2013-07-30,22967.0,13599.0,59.21
Wilmington Housing Authority,2014-07-23,32347,2014-05-16,10578.0,21769.0,205.8
Winnebago County Housing Authori,2014-05-15,29536,2013-07-16,12856.0,16680.0,129.74
Worcester Housing Authority,2014-06-20,27503,2014-06-18,26872.0,631.0,2.35
Youngstown Metropolitan Housing,2014-10-08,34950,2014-10-06,11816.0,23134.0,195.79
Zanesville Metropolitan Housing,2014-09-23,28684,2014-09-22,10702.0,17982.0,168.02
